titulo,url,categoria,fecha
La Realidad una oda a los bares y los artistas,/programas/nos-vemos-en-el-bar/La-Realidad-una-oda-a-los-bares-y-los-artistas-2-2615458437--20231115104100.html,programas,2023/11/15
Estupenda bar el escenario de Twin Peaks en Malasaña,/programas/nos-vemos-en-el-bar/Estupenda-bar-el-escenario-de-Twin-Peaks-en-Malasana-2-2615458438--20231115104000.html,programas,2023/11/15
Nos vemos en el bar: Bares curiosos,/programas/nos-vemos-en-el-bar/Nos-vemos-en-el-bar-Bares-curiosos-2-2609159095--20231025103400.html,programas,2023/10/25
Bar Pintxo el punto de encuentro en  Villaviciosa de Odón,/programas/nos-vemos-en-el-bar/Bar-Pintxo-el-punto-de-encuentro-en-Villaviciosa-de-Odon-2-2613058677--20231107103400.html,programas,2023/11/07
Perretxico el bar de los pinchos vascos con un toque castizo y gourmet,/programas/nos-vemos-en-el-bar/Perretxico-el-bar-de-los-pinchos-vascos-con-un-toque-castizo-y-gourmet-2-2613058678--20231107103300.html,programas,2023/11/07
Nos vemos en el bar: Bares de pinchos,/programas/nos-vemos-en-el-bar/Nos-vemos-en-el-bar-Bares-de-pinchos-2-2608559208--20231023103000.html,programas,2023/10/23
Marta Hazas invitada de Minerva Piquero en “La vida es bella” en Onda Madrid,/corporativo/sala-de-prensa/Marta-Hazas-invitada-de-Minerva-Piquero-en-La-vida-es-bella-en-Onda-Madrid-0-2632536744--20240111114158.html,corporativo,2024/01/11
Telemadrid cierra su programación navideña con ‘Madrid Directo Especial Cabalgata de Reyes’ y la retransmisión de la Pascua Militar,/corporativo/sala-de-prensa/Telemadrid-cierra-su-programacion-navidena-con-Madrid-Directo-Especial-Cabalgata-de-Reyes-y-la-retransmision-de-la-Pascua-Militar-0-2630436957--20240104124817.html,corporativo,2024/01/04
Los informativos de Telemadrid cierran 2023 con el mejor dato de audiencia de los últimos 13 años,/corporativo/sala-de-prensa/Los-informativos-de-Telemadrid-cierran-2023-con-el-mejor-dato-de-audiencia-de-los-ultimos-13-anos-0-2629837004--20240102112551.html,corporativo,2024/01/02
Telemadrid despedirá el año con  la San Silvestre Vallecana el mensaje de Ayuso y las Campanadas,/noticias/madrid/Telemadrid-despedira-el-ano-con-la-San-Silvestre-Vallecana-el-mensaje-de-Ayuso-y-las-Campanadas-0-2629237051--20231231084231.html,noticias,2023/12/31
Vuelve a Telemadrid el ‘Show de los Inocentes’ de Bertín Osborne,/corporativo/sala-de-prensa/Vuelve-a-Telemadrid-el-Show-de-los-Inocentes-de-Bertin-Osborne-0-2627737222--20231226125054.html,corporativo,2023/12/26
Paco Roncero enfrenta a Natalia Rodríguez Anthony Blake y Fabiola Martínez para hacer la mejor receta con unos langostinos sobrantes,/corporativo/sala-de-prensa/Paco-Roncero-enfrenta-a-Natalia-Rodriguez-Anthony-Blake-y-Fabiola-Martinez-para-hacer-la-mejor-receta-con-unos-langostinos-sobrantes-0-2626537345--20231222121118.html,corporativo,2023/12/22
Conchita y Pablo Cebrián acompañarán este viernes a Minerva Piquero en ‘La vida es bella’,/corporativo/sala-de-prensa/Conchita-y-Pablo-Cebrian-acompanaran-este-viernes-a-Minerva-Piquero-en-La-vida-es-bella-0-2626237369--20231221121301.html,corporativo,2023/12/21
Telemadrid da un like a la magia y a la ilusión,/corporativo/sala-de-prensa/Telemadrid-da-un-like-a-la-magia-y-a-la-ilusion-0-2625637416--20231219100501.html,corporativo,2023/12/19
TeleMadrid recibe el premio de la Unión de Federaciones Deportivas Madrileñas por su apoyo al deporte madrileño,/corporativo/sala-de-prensa/TeleMadrid-recibe-el-premio-de-la-Union-de-Federaciones-Deportivas-Madrilenas-por-su-apoyo-al-deporte-madrileno-0-2624437551--20231215121756.html,corporativo,2023/12/15
Madrid Directo pone el árbol de Navidad de Telemadrid: un abeto de 14 metros que plantó el equipo del programa hace 25 años,/corporativo/sala-de-prensa/Madrid-Directo-pone-el-arbol-de-Navidad-de-Telemadrid-un-abeto-de-14-metros-que-planto-el-equipo-del-programa-hace-25-anos-0-2624437539--20231215094754.html,corporativo,2023/12/15
